等级	玩家升级经验	防御参数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
194	2080000	37632	user.hero_exp:-2030000	user.hero_exp:115654780	10	163400	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
195	2110000	37952	user.hero_exp:-2060000	user.hero_exp:117684780	10	164750	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
196	2140000	38272	user.hero_exp:-2090000	user.hero_exp:119744780	10	166150	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
197	2160000	38592	user.hero_exp:-2120000	user.hero_exp:121834780	10	167500	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
198	2200000	38912	user.hero_exp:-2150000	user.hero_exp:123954780	10	168800	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
199	2230000	39232	user.hero_exp:-2180000	user.hero_exp:126104780	10	170100	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
200	2250000	40800	user.hero_exp:-2200000	user.hero_exp:128284780	10	171350	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
201	2260000	41136	user.hero_exp:-2220000	user.hero_exp:130484780	10	172650	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
202	2280000	41472	user.hero_exp:-2240000	user.hero_exp:132704780	10	173950	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
203	2300000	41808	user.hero_exp:-2260000	user.hero_exp:134944780	10	175200	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
204	2330000	42144	user.hero_exp:-2290000	user.hero_exp:137204780	10	176500	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
205	2350000	42480	user.hero_exp:-2310000	user.hero_exp:139494780	10	177750	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
206	2370000	42816	user.hero_exp:-2340000	user.hero_exp:141804780	10	179000	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
207	2390000	43152	user.hero_exp:-2360000	user.hero_exp:144144780	10	180250	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
208	2420000	43488	user.hero_exp:-2390000	user.hero_exp:146504780	10	181500	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
209	2440000	43824	user.hero_exp:-2410000	user.hero_exp:148894780	10	182800	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
210	2470000	44160	user.hero_exp:-2460000	user.hero_exp:151304780	10	184150	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
211	2500000	44512	user.hero_exp:-2490000	user.hero_exp:153764780	10	185700	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
212	2530000	44864	user.hero_exp:-2520000	user.hero_exp:156254780	10	187050	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
213	2560000	45216	user.hero_exp:-2550000	user.hero_exp:158774780	10	188450	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
214	2590000	45568	user.hero_exp:-2590000	user.hero_exp:161324780	10	189850	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
215	2620000	45920	user.hero_exp:-2620000	user.hero_exp:163914780	10	191200	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
216	2660000	46272	user.hero_exp:-2660000	user.hero_exp:166534780	10	194000	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
217	2690000	46624	user.hero_exp:-2690000	user.hero_exp:169194780	10	195350	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
218	2730000	46976	user.hero_exp:-2730000	user.hero_exp:171884780	10	196700	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
219	2760000	47328	user.hero_exp:-2770000	user.hero_exp:174614780	10	198050	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
220	2790000	49056	user.hero_exp:-2790000	user.hero_exp:177384780	10	199400	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
221	2810000	49424	user.hero_exp:-2820000	user.hero_exp:180174780	10	201050	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
222	2830000	49792	user.hero_exp:-2840000	user.hero_exp:182994780	10	202650	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
223	2850000	50160	user.hero_exp:-2870000	user.hero_exp:185834780	10	204250	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
224	2880000	50528	user.hero_exp:-2900000	user.hero_exp:188704780	10	206550	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
225	2900000	50896	user.hero_exp:-2920000	user.hero_exp:191604780	10	208250	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
226	2930000	51264	user.hero_exp:-2960000	user.hero_exp:194524780	10	210000	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
227	2960000	51632	user.hero_exp:-2990000	user.hero_exp:197484780	10	211750	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
228	2990000	52000	user.hero_exp:-3020000	user.hero_exp:200474780	10	213450	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
229	3020000	52368	user.hero_exp:-3060000	user.hero_exp:203494780	10	215150	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
230	3050000	52736	user.hero_exp:-3100000	user.hero_exp:206554780	10	216850	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
231	3080000	53120	user.hero_exp:-3130000	user.hero_exp:209654780	10	225000	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
232	3120000	53504	user.hero_exp:-3170000	user.hero_exp:212784780	10	226650	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
233	3150000	53888	user.hero_exp:-3200000	user.hero_exp:215954780	10	228300	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
234	3190000	54272	user.hero_exp:-3240000	user.hero_exp:219154780	10	229950	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
235	3220000	54656	user.hero_exp:-3280000	user.hero_exp:222394780	10	231550	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
236	3270000	55040	user.hero_exp:-3330000	user.hero_exp:225674780	10	233200	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
237	3300000	55424	user.hero_exp:-3370000	user.hero_exp:229004780	10	235000	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
238	3350000	55808	user.hero_exp:-3420000	user.hero_exp:232374780	10	236600	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
239	3380000	56192	user.hero_exp:-3460000	user.hero_exp:235794780	10	238250	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
240	3390000	58080	user.hero_exp:-3480000	user.hero_exp:239254780	10	239550	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
241	3390000	58480	user.hero_exp:-3500000	user.hero_exp:242734780	10	241800	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
242	3390000	58880	user.hero_exp:-3510000	user.hero_exp:246234780	10	243150	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
243	3390000	59280	user.hero_exp:-3530000	user.hero_exp:249744780	10	244450	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
244	3390000	59680	user.hero_exp:-3550000	user.hero_exp:253274780	10	245750	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
245	3390000	60080	user.hero_exp:-3570000	user.hero_exp:256824780	10	247100	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
246	3390000	60480	user.hero_exp:-3600000	user.hero_exp:260394780	10	248400	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
247	3390000	60880	user.hero_exp:-3620000	user.hero_exp:263994780	10	249700	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
248	3390000	61280	user.hero_exp:-3640000	user.hero_exp:267614780	10	251000	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
249	3390000	61680	user.hero_exp:-3670000	user.hero_exp:271254780	10	252300	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
250	3390000	62080	user.hero_exp:-3690000	user.hero_exp:274924780	10	253550	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
251	3390000	62496	user.hero_exp:-3720000	user.hero_exp:278614780	10	254850	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
252	3390000	62912	user.hero_exp:-3750000	user.hero_exp:282334780	10	256150	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
253	3390000	63328	user.hero_exp:-3770000	user.hero_exp:286084780	10	258050	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
254	3390000	63744	user.hero_exp:-3800000	user.hero_exp:289854780	10	259350	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
255	3390000	64160	user.hero_exp:-3830000	user.hero_exp:293654780	10	260600	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
256	3390000	64576	user.hero_exp:-3870000	user.hero_exp:297484780	10	261900	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
257	3390000	64992	user.hero_exp:-3900000	user.hero_exp:301354780	10	263200	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
258	3390000	65408	user.hero_exp:-3940000	user.hero_exp:305254780	10	264450	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
259	3390000	65824	user.hero_exp:-3970000	user.hero_exp:309194780	10	265700	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
260	3390000	66240	user.hero_exp:-3990000	user.hero_exp:313164780	10	266950	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
261	3390000	66672	user.hero_exp:-4010000	user.hero_exp:317154780	10	268450	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
262	3390000	67104	user.hero_exp:-4030000	user.hero_exp:321164780	10	269700	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
263	3390000	67536	user.hero_exp:-4050000	user.hero_exp:325194780	10	270950	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
264	3390000	67968	user.hero_exp:-4070000	user.hero_exp:329244780	10	272700	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
265	3390000	68400	user.hero_exp:-4090000	user.hero_exp:333314780	10	274600	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
266	3390000	68832	user.hero_exp:-4110000	user.hero_exp:337404780	10	276500	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
267	3390000	69264	user.hero_exp:-4140000	user.hero_exp:341514780	10	278400	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
268	3390000	69696	user.hero_exp:-4170000	user.hero_exp:345654780	10	280300	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
269	3390000	70128	user.hero_exp:-4190000	user.hero_exp:349824780	10	282150	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
270	3390000	70560	user.hero_exp:-4220000	user.hero_exp:354014780	10	284050	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
271	3390000	71008	user.hero_exp:-4250000	user.hero_exp:358234780	10	285900	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
272	3390000	71456	user.hero_exp:-4280000	user.hero_exp:362484780	10	287800	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
273	3390000	71904	user.hero_exp:-4310000	user.hero_exp:366764780	10	289650	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
274	3390000	72352	user.hero_exp:-4340000	user.hero_exp:371074780	10	291500	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
275	3390000	72800	user.hero_exp:-4370000	user.hero_exp:375414780	10	293350	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
276	3390000	73248	user.hero_exp:-4410000	user.hero_exp:379784780	10	295250	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
277	3390000	73696	user.hero_exp:-4440000	user.hero_exp:384194780	10	297100	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
278	3390000	74144	user.hero_exp:-4480000	user.hero_exp:388634780	10	298950	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
279	3390000	74592	user.hero_exp:-4520000	user.hero_exp:393114780	10	301350	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
280	3390000	75040	user.hero_exp:-4540000	user.hero_exp:397634780	10	303150	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
281	3390000	75504	user.hero_exp:-4560000	user.hero_exp:402174780	10	305250	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
282	3390000	75968	user.hero_exp:-4580000	user.hero_exp:406734780	10	307350	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
283	3390000	76432	user.hero_exp:-4600000	user.hero_exp:411314780	10	309400	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
284	3390000	76896	user.hero_exp:-4630000	user.hero_exp:415914780	10	311500	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
285	3390000	77360	user.hero_exp:-4650000	user.hero_exp:420544780	10	313550	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
286	3390000	77824	user.hero_exp:-4680000	user.hero_exp:425194780	10	315650	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
287	3390000	78288	user.hero_exp:-4700000	user.hero_exp:429874780	10	317700	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
288	3390000	78752	user.hero_exp:-4730000	user.hero_exp:434574780	10	321950	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
289	3390000	79216	user.hero_exp:-4760000	user.hero_exp:439304780	10	324250	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
290	3390000	79680	user.hero_exp:-4790000	user.hero_exp:444064780	10	326500	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
291	3390000	80160	user.hero_exp:-4820000	user.hero_exp:448854780	10	329100	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
292	3390000	80640	user.hero_exp:-4850000	user.hero_exp:453674780	10	331350	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
293	3390000	81120	user.hero_exp:-4890000	user.hero_exp:458524780	10	333600	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
294	3390000	81600	user.hero_exp:-4920000	user.hero_exp:463414780	10	342050	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
295	3390000	82080	user.hero_exp:-4960000	user.hero_exp:468334780	10	344300	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
296	3390000	82560	user.hero_exp:-5000000	user.hero_exp:473294780	10	346500	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
297	3390000	83040	user.hero_exp:-5030000	user.hero_exp:478294780	10	348750	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
298	3390000	83520	user.hero_exp:-5070000	user.hero_exp:483324780	10	351000	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
299	3390000	84000	user.hero_exp:-5110000	user.hero_exp:488394780	10	353200	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
300	3390000	84480	user.hero_exp:-5160000	user.hero_exp:493504780	10	355400	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
301	3390000	84976	user.hero_exp:-5180000	user.hero_exp:498664780	10	358450	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
302	3390000	85472	user.hero_exp:-5200000	user.hero_exp:503844780	10	361150	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
303	3390000	85968	user.hero_exp:-5230000	user.hero_exp:509044780	10	363350	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
304	3390000	86464	user.hero_exp:-5260000	user.hero_exp:514274780	10	365600	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
305	3390000	86960	user.hero_exp:-5280000	user.hero_exp:519534780	10	367800	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
306	3390000	87456	user.hero_exp:-5310000	user.hero_exp:524814780	10	370050	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
307	3390000	87952	user.hero_exp:-5340000	user.hero_exp:530124780	10	372300	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
308	3390000	88448	user.hero_exp:-5370000	user.hero_exp:535464780	10	374550	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
309	3390000	88944	user.hero_exp:-5410000	user.hero_exp:540834780	10	376750	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
310	3390000	89440	user.hero_exp:-5440000	user.hero_exp:546244780	10	379000	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
311	3390000	89952	user.hero_exp:-5470000	user.hero_exp:551684780	10	381250	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
312	3390000	90464	user.hero_exp:-5510000	user.hero_exp:557154780	10	383550	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
313	3390000	90976	user.hero_exp:-5550000	user.hero_exp:562664780	10	386100	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
314	3390000	91488	user.hero_exp:-5580000	user.hero_exp:568214780	10	388600	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
315	3390000	92000	user.hero_exp:-5620000	user.hero_exp:573794780	10	391100	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
316	3390000	92512	user.hero_exp:-5660000	user.hero_exp:579414780	10	393600	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
317	3390000	93024	user.hero_exp:-5700000	user.hero_exp:585074780	10	396100	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
318	3390000	93536	user.hero_exp:-5750000	user.hero_exp:590774780	10	398600	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
319	3390000	94048	user.hero_exp:-5790000	user.hero_exp:596524780	10	401100	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
320	3390000	94560	user.hero_exp:-5820000	user.hero_exp:602314780	10	403600	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
321	3390000	95088	user.hero_exp:-5840000	user.hero_exp:608134780	10	406200	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
322	3390000	95616	user.hero_exp:-5870000	user.hero_exp:613974780	10	408800	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
323	3390000	96144	user.hero_exp:-5900000	user.hero_exp:619844780	10	411400	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
324	3390000	96672	user.hero_exp:-5930000	user.hero_exp:625744780	10	414500	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
325	3390000	97200	user.hero_exp:-5960000	user.hero_exp:631674780	10	417100	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
326	3390000	97728	user.hero_exp:-5990000	user.hero_exp:637634780	10	419700	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
327	3390000	98256	user.hero_exp:-6020000	user.hero_exp:643624780	10	422300	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
328	3390000	98784	user.hero_exp:-6050000	user.hero_exp:649644780	10	425350	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
329	3390000	99312	user.hero_exp:-6090000	user.hero_exp:655694780	10	427950	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
330	3390000	99840	user.hero_exp:-6130000	user.hero_exp:661784780	10	430550	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
331	3390000	100384	user.hero_exp:-6160000	user.hero_exp:667914780	10	433150	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
332	3390000	100928	user.hero_exp:-6200000	user.hero_exp:674074780	10	435700	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
333	3390000	101472	user.hero_exp:-6240000	user.hero_exp:680274780	10	438300	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
334	3390000	102016	user.hero_exp:-6280000	user.hero_exp:686514780	10	440900	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
335	3390000	102560	user.hero_exp:-6330000	user.hero_exp:692794780	10	443450	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
336	3390000	103104	user.hero_exp:-6370000	user.hero_exp:699124780	10	446100	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
337	3390000	103648	user.hero_exp:-6420000	user.hero_exp:705494780	10	448900	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
338	3390000	104192	user.hero_exp:-6460000	user.hero_exp:711914780	10	451750	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
339	3390000	104736	user.hero_exp:-6510000	user.hero_exp:718374780	10	454600	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
340	3390000	105280	user.hero_exp:-6540000	user.hero_exp:724884780	10	457400	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
341	3390000	105840	user.hero_exp:-6570000	user.hero_exp:731424780	10	460350	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
342	3390000	106400	user.hero_exp:-6600000	user.hero_exp:737994780	10	463300	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
343	3390000	106960	user.hero_exp:-6630000	user.hero_exp:744594780	10	466700	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
344	3390000	107520	user.hero_exp:-6660000	user.hero_exp:751224780	10	469650	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
345	3390000	108080	user.hero_exp:-6690000	user.hero_exp:757884780	10	472550	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
346	3390000	108640	user.hero_exp:-6730000	user.hero_exp:764574780	10	475500	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
347	3390000	109200	user.hero_exp:-6770000	user.hero_exp:771304780	10	478400	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
348	3390000	109760	user.hero_exp:-6800000	user.hero_exp:778074780	10	481350	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
349	3390000	110320	user.hero_exp:-6840000	user.hero_exp:784874780	10	484250	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
350	3390000	110880	user.hero_exp:-6880000	user.hero_exp:791714780	10	487200	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
351	3390000	111456	user.hero_exp:-6920000	user.hero_exp:798594780	10	490100	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
352	3390000	112032	user.hero_exp:-6970000	user.hero_exp:805514780	10	493000	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
353	3390000	112608	user.hero_exp:-7010000	user.hero_exp:812484780	10	495900	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
354	3390000	113184	user.hero_exp:-7060000	user.hero_exp:819494780	10	498850	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
355	3390000	113760	user.hero_exp:-7100000	user.hero_exp:826554780	10	501750	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
356	3390000	114336	user.hero_exp:-7150000	user.hero_exp:833654780	10	504650	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
357	3390000	114912	user.hero_exp:-7200000	user.hero_exp:840804780	10	507550	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
358	3390000	115488	user.hero_exp:-7250000	user.hero_exp:848004780	10	510450	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
359	3390000	116064	user.hero_exp:-7300000	user.hero_exp:855254780	10	513350	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
360	3390000	116640	user.hero_exp:-7320000	user.hero_exp:862554780	10	519000	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
