次数	五星英雄碎片购买	极品1级龙晶购买消耗	竞技场门票购买消耗	困难重置消耗元宝	精英重置消耗元宝	普通重置消耗元宝	秘境怪人刷新消耗元宝	秘境硬币重置消耗元宝	探索任务次数购买消耗	探索挂机加速消耗元宝	千重楼重置消耗	皇城争霸挑战次数购买	龙晶矿洞矿锄购买	军团BOSS挑战消耗	军团领地行动力购买消耗	军团BOSS挑战消耗1	英雄背包购买	护送战斗点	护送任务购买	巅峰竞技场补足次数消耗
67	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
68	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
69	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
70	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
71	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
72	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
73	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
74	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
75	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
76	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
77	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
78	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
79	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
80	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
81	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
82	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
83	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
84	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
85	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
86	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
87	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
88	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
89	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
90	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
91	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
92	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
93	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
94	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
95	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
96	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
97	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
98	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
99	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
100	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
