等级	速攻攻击	速攻防御	速攻生命	速攻速度	支援攻击	支援防御	支援生命	支援速度	妨害攻击	妨害防御	妨害生命	妨害速度	坦克攻击	坦克防御	坦克生命	坦克速度	回复攻击	回复防御	回复生命	回复速度	攻击攻击	攻击防御	攻击生命	攻击速度
143	12902.4	4480	89600	460.8	10752	4480	107520	384	10752	4480	107520	384	8960	5973.3184	120960	345.6	12902.4	4072.7272727	91259.167718	307.2	14335.96416	4480	80640.201601	268.8
144	13075.2	4540	90800	463.2	10896	4540	108960	386	10896	4540	108960	386	9080	6053.3182	122580	347.4	13075.2	4127.2727273	92481.388715	308.8	14527.96368	4540	81720.204301	270.2
145	13248	4600	92000	465.6	11040	4600	110400	388	11040	4600	110400	388	9200	6133.318	124200	349.2	13248	4181.8181818	93703.609711	310.4	14719.9632	4600	82800.207001	271.6
146	13420.8	4660	93200	468	11184	4660	111840	390	11184	4660	111840	390	9320	6213.3178	125820	351	13420.8	4236.3636364	94925.830707	312	14911.96272	4660	83880.209701	273
147	13593.6	4720	94400	470.4	11328	4720	113280	392	11328	4720	113280	392	9440	6293.3176	127440	352.8	13593.6	4290.9090909	96148.051703	313.6	15103.96224	4720	84960.212401	274.4
148	13766.4	4780	95600	472.8	11472	4780	114720	394	11472	4780	114720	394	9560	6373.3174	129060	354.6	13766.4	4345.4545455	97370.2727	315.2	15295.96176	4780	86040.215101	275.8
149	13939.2	4840	96800	475.2	11616	4840	116160	396	11616	4840	116160	396	9680	6453.3172	130680	356.4	13939.2	4400	98592.493696	316.8	15487.96128	4840	87120.217801	277.2
150	14112	4900	98000	477.6	11760	4900	117600	398	11760	4900	117600	398	9800	6533.317	132300	358.2	14112	4454.5454545	99814.714692	318.4	15679.9608	4900	88200.220501	278.6
151	14296.32	4964	99280	480	11913.6	4964	119136	400	11913.6	4964	119136	400	9928	6618.65012	134028	360	14296.32	4512.7272727	101118.41709	320	15884.760288	4964	89352.223381	280
152	14480.64	5028	100560	482.4	12067.2	5028	120672	402	12067.2	5028	120672	402	10056	6703.98324	135756	361.8	14480.64	4570.9090909	102422.11948	321.6	16089.559776	5028	90504.226261	281.4
153	14664.96	5092	101840	484.8	12220.8	5092	122208	404	12220.8	5092	122208	404	10184	6789.31636	137484	363.6	14664.96	4629.0909091	103725.82188	323.2	16294.359264	5092	91656.229141	282.8
154	14849.28	5156	103120	487.2	12374.4	5156	123744	406	12374.4	5156	123744	406	10312	6874.64948	139212	365.4	14849.28	4687.2727273	105029.52428	324.8	16499.158752	5156	92808.232021	284.2
155	15033.6	5220	104400	489.6	12528	5220	125280	408	12528	5220	125280	408	10440	6959.9826	140940	367.2	15033.6	4745.4545455	106333.22667	326.4	16703.95824	5220	93960.234901	285.6
156	15217.92	5284	105680	492	12681.6	5284	126816	410	12681.6	5284	126816	410	10568	7045.31572	142668	369	15217.92	4803.6363636	107636.92907	328	16908.757728	5284	95112.237781	287
157	15402.24	5348	106960	494.4	12835.2	5348	128352	412	12835.2	5348	128352	412	10696	7130.64884	144396	370.8	15402.24	4861.8181818	108940.63146	329.6	17113.557216	5348	96264.240661	288.4
158	15586.56	5412	108240	496.8	12988.8	5412	129888	414	12988.8	5412	129888	414	10824	7215.98196	146124	372.6	15586.56	4920	110244.33386	331.2	17318.356704	5412	97416.243541	289.8
159	15770.88	5476	109520	499.2	13142.4	5476	131424	416	13142.4	5476	131424	416	10952	7301.31508	147852	374.4	15770.88	4978.1818182	111548.03626	332.8	17523.156192	5476	98568.246421	291.2
160	15955.2	5540	110800	501.6	13296	5540	132960	418	13296	5540	132960	418	11080	7386.6482	149580	376.2	15955.2	5036.3636364	112851.73865	334.4	17727.95568	5540	99720.249301	292.6
161	16151.04	5608	112160	504	13459.2	5608	134592	420	13459.2	5608	134592	420	11216	7477.31464	151416	378	16151.04	5098.1818182	114236.92245	336	17945.555136	5608	100944.25236	294
162	16346.88	5676	113520	506.4	13622.4	5676	136224	422	13622.4	5676	136224	422	11352	7567.98108	153252	379.8	16346.88	5160	115622.10624	337.6	18163.154592	5676	102168.25542	295.4
163	16542.72	5744	114880	508.8	13785.6	5744	137856	424	13785.6	5744	137856	424	11488	7658.64752	155088	381.6	16542.72	5221.8181818	117007.29004	339.2	18380.754048	5744	103392.25848	296.8
164	16738.56	5812	116240	511.2	13948.8	5812	139488	426	13948.8	5812	139488	426	11624	7749.31396	156924	383.4	16738.56	5283.6363636	118392.47383	340.8	18598.353504	5812	104616.26154	298.2
165	16934.4	5880	117600	513.6	14112	5880	141120	428	14112	5880	141120	428	11760	7839.9804	158760	385.2	16934.4	5345.4545455	119777.65763	342.4	18815.95296	5880	105840.2646	299.6
166	17130.24	5948	118960	516	14275.2	5948	142752	430	14275.2	5948	142752	430	11896	7930.64684	160596	387	17130.24	5407.2727273	121162.84143	344	19033.552416	5948	107064.26766	301
167	17326.08	6016	120320	518.4	14438.4	6016	144384	432	14438.4	6016	144384	432	12032	8021.31328	162432	388.8	17326.08	5469.0909091	122548.02522	345.6	19251.151872	6016	108288.27072	302.4
168	17521.92	6084	121680	520.8	14601.6	6084	146016	434	14601.6	6084	146016	434	12168	8111.97972	164268	390.6	17521.92	5530.9090909	123933.20902	347.2	19468.751328	6084	109512.27378	303.8
169	17717.76	6152	123040	523.2	14764.8	6152	147648	436	14764.8	6152	147648	436	12304	8202.64616	166104	392.4	17717.76	5592.7272727	125318.39281	348.8	19686.350784	6152	110736.27684	305.2
170	17913.6	6220	124400	525.6	14928	6220	149280	438	14928	6220	149280	438	12440	8293.3126	167940	394.2	17913.6	5654.5454545	126703.57661	350.4	19903.95024	6220	111960.2799	306.6
171	18120.96	6292	125840	528	15100.8	6292	151008	440	15100.8	6292	151008	440	12584	8389.31236	169884	396	18120.96	5720	128170.2418	352	20134.349664	6292	113256.28314	308
172	18328.32	6364	127280	530.4	15273.6	6364	152736	442	15273.6	6364	152736	442	12728	8485.31212	171828	397.8	18328.32	5785.4545455	129636.907	353.6	20364.749088	6364	114552.28638	309.4
173	18535.68	6436	128720	532.8	15446.4	6436	154464	444	15446.4	6436	154464	444	12872	8581.31188	173772	399.6	18535.68	5850.9090909	131103.5722	355.2	20595.148512	6436	115848.28962	310.8
174	18743.04	6508	130160	535.2	15619.2	6508	156192	446	15619.2	6508	156192	446	13016	8677.31164	175716	401.4	18743.04	5916.3636364	132570.23739	356.8	20825.547936	6508	117144.29286	312.2
175	18950.4	6580	131600	537.6	15792	6580	157920	448	15792	6580	157920	448	13160	8773.3114	177660	403.2	18950.4	5981.8181818	134036.90259	358.4	21055.94736	6580	118440.2961	313.6
176	19157.76	6652	133040	540	15964.8	6652	159648	450	15964.8	6652	159648	450	13304	8869.31116	179604	405	19157.76	6047.2727273	135503.56778	360	21286.346784	6652	119736.29934	315
177	19365.12	6724	134480	542.4	16137.6	6724	161376	452	16137.6	6724	161376	452	13448	8965.31092	181548	406.8	19365.12	6112.7272727	136970.23298	361.6	21516.746208	6724	121032.30258	316.4
178	19572.48	6796	135920	544.8	16310.4	6796	163104	454	16310.4	6796	163104	454	13592	9061.31068	183492	408.6	19572.48	6178.1818182	138436.89817	363.2	21747.145632	6796	122328.30582	317.8
179	19779.84	6868	137360	547.2	16483.2	6868	164832	456	16483.2	6868	164832	456	13736	9157.31044	185436	410.4	19779.84	6243.6363636	139903.56337	364.8	21977.545056	6868	123624.30906	319.2
180	19987.2	6940	138800	549.6	16656	6940	166560	458	16656	6940	166560	458	13880	9253.3102	187380	412.2	19987.2	6309.0909091	141370.22856	366.4	22207.94448	6940	124920.3123	320.6
181	20206.08	7016	140320	552	16838.4	7016	168384	460	16838.4	7016	168384	460	14032	9354.64328	189432	414	20206.08	6378.1818182	142918.37516	368	22451.143872	7016	126288.31572	322
182	20424.96	7092	141840	554.4	17020.8	7092	170208	462	17020.8	7092	170208	462	14184	9455.97636	191484	415.8	20424.96	6447.2727273	144466.52175	369.6	22694.343264	7092	127656.31914	323.4
183	20643.84	7168	143360	556.8	17203.2	7168	172032	464	17203.2	7168	172032	464	14336	9557.30944	193536	417.6	20643.84	6516.3636364	146014.66835	371.2	22937.542656	7168	129024.32256	324.8
184	20862.72	7244	144880	559.2	17385.6	7244	173856	466	17385.6	7244	173856	466	14488	9658.64252	195588	419.4	20862.72	6585.4545455	147562.81494	372.8	23180.742048	7244	130392.32598	326.2
185	21081.6	7320	146400	561.6	17568	7320	175680	468	17568	7320	175680	468	14640	9759.9756	197640	421.2	21081.6	6654.5454545	149110.96154	374.4	23423.94144	7320	131760.3294	327.6
186	21300.48	7396	147920	564	17750.4	7396	177504	470	17750.4	7396	177504	470	14792	9861.30868	199692	423	21300.48	6723.6363636	150659.10814	376	23667.140832	7396	133128.33282	329
187	21519.36	7472	149440	566.4	17932.8	7472	179328	472	17932.8	7472	179328	472	14944	9962.64176	201744	424.8	21519.36	6792.7272727	152207.25473	377.6	23910.340224	7472	134496.33624	330.4
188	21738.24	7548	150960	568.8	18115.2	7548	181152	474	18115.2	7548	181152	474	15096	10063.97484	203796	426.6	21738.24	6861.8181818	153755.40133	379.2	24153.539616	7548	135864.33966	331.8
189	21957.12	7624	152480	571.2	18297.6	7624	182976	476	18297.6	7624	182976	476	15248	10165.30792	205848	428.4	21957.12	6930.9090909	155303.54792	380.8	24396.739008	7624	137232.34308	333.2
190	22176	7700	154000	573.6	18480	7700	184800	478	18480	7700	184800	478	15400	10266.641	207900	430.2	22176	7000	156851.69452	382.4	24639.9384	7700	138600.3465	334.6
191	22406.4	7780	155600	576	18672	7780	186720	480	18672	7780	186720	480	15560	10373.3074	210060	432	22406.4	7072.7272727	158481.32251	384	24895.93776	7780	140040.3501	336
192	22636.8	7860	157200	578.4	18864	7860	188640	482	18864	7860	188640	482	15720	10479.9738	212220	433.8	22636.8	7145.4545455	160110.95051	385.6	25151.93712	7860	141480.3537	337.4
193	22867.2	7940	158800	580.8	19056	7940	190560	484	19056	7940	190560	484	15880	10586.6402	214380	435.6	22867.2	7218.1818182	161740.5785	387.2	25407.93648	7940	142920.3573	338.8
194	23097.6	8020	160400	583.2	19248	8020	192480	486	19248	8020	192480	486	16040	10693.3066	216540	437.4	23097.6	7290.9090909	163370.2065	388.8	25663.93584	8020	144360.3609	340.2
195	23328	8100	162000	585.6	19440	8100	194400	488	19440	8100	194400	488	16200	10799.973	218700	439.2	23328	7363.6363636	164999.83449	390.4	25919.9352	8100	145800.3645	341.6
196	23558.4	8180	163600	588	19632	8180	196320	490	19632	8180	196320	490	16360	10906.6394	220860	441	23558.4	7436.3636364	166629.46249	392	26175.93456	8180	147240.3681	343
197	23788.8	8260	165200	590.4	19824	8260	198240	492	19824	8260	198240	492	16520	11013.3058	223020	442.8	23788.8	7509.0909091	168259.09048	393.6	26431.93392	8260	148680.3717	344.4
198	24019.2	8340	166800	592.8	20016	8340	200160	494	20016	8340	200160	494	16680	11119.9722	225180	444.6	24019.2	7581.8181818	169888.71848	395.2	26687.93328	8340	150120.3753	345.8
199	24249.6	8420	168400	595.2	20208	8420	202080	496	20208	8420	202080	496	16840	11226.6386	227340	446.4	24249.6	7654.5454545	171518.34647	396.8	26943.93264	8420	151560.3789	347.2
200	24480	8500	170000	597.6	20400	8500	204000	498	20400	8500	204000	498	17000	11333.305	229500	448.2	24480	7727.2727273	173147.97447	398.4	27199.932	8500	153000.3825	348.6
201	24721.92	8584	171680	600	20601.6	8584	206016	500	20601.6	8584	206016	500	17168	11445.30472	231768	450	24721.92	7803.6363636	174859.08386	400	27468.731328	8584	154512.38628	350
202	24963.84	8668	173360	602.4	20803.2	8668	208032	502	20803.2	8668	208032	502	17336	11557.30444	234036	451.8	24963.84	7880	176570.19326	401.6	27737.530656	8668	156024.39006	351.4
203	25205.76	8752	175040	604.8	21004.8	8752	210048	504	21004.8	8752	210048	504	17504	11669.30416	236304	453.6	25205.76	7956.3636364	178281.30265	403.2	28006.329984	8752	157536.39384	352.8
204	25447.68	8836	176720	607.2	21206.4	8836	212064	506	21206.4	8836	212064	506	17672	11781.30388	238572	455.4	25447.68	8032.7272727	179992.41204	404.8	28275.129312	8836	159048.39762	354.2
205	25689.6	8920	178400	609.6	21408	8920	214080	508	21408	8920	214080	508	17840	11893.3036	240840	457.2	25689.6	8109.0909091	181703.52144	406.4	28543.92864	8920	160560.4014	355.6
206	25931.52	9004	180080	612	21609.6	9004	216096	510	21609.6	9004	216096	510	18008	12005.30332	243108	459	25931.52	8185.4545455	183414.63083	408	28812.727968	9004	162072.40518	357
207	26173.44	9088	181760	614.4	21811.2	9088	218112	512	21811.2	9088	218112	512	18176	12117.30304	245376	460.8	26173.44	8261.8181818	185125.74023	409.6	29081.527296	9088	163584.40896	358.4
208	26415.36	9172	183440	616.8	22012.8	9172	220128	514	22012.8	9172	220128	514	18344	12229.30276	247644	462.6	26415.36	8338.1818182	186836.84962	411.2	29350.326624	9172	165096.41274	359.8
209	26657.28	9256	185120	619.2	22214.4	9256	222144	516	22214.4	9256	222144	516	18512	12341.30248	249912	464.4	26657.28	8414.5454545	188547.95902	412.8	29619.125952	9256	166608.41652	361.2
210	26899.2	9340	186800	621.6	22416	9340	224160	518	22416	9340	224160	518	18680	12453.3022	252180	466.2	26899.2	8490.9090909	190259.06841	414.4	29887.92528	9340	168120.4203	362.6
211	27152.64	9428	188560	624	22627.2	9428	226272	520	22627.2	9428	226272	520	18856	12570.63524	254556	468	27152.64	8570.9090909	192051.65921	416	30169.524576	9428	169704.42426	364
212	27406.08	9516	190320	626.4	22838.4	9516	228384	522	22838.4	9516	228384	522	19032	12687.96828	256932	469.8	27406.08	8650.9090909	193844.25	417.6	30451.123872	9516	171288.42822	365.4
213	27659.52	9604	192080	628.8	23049.6	9604	230496	524	23049.6	9604	230496	524	19208	12805.30132	259308	471.6	27659.52	8730.9090909	195636.8408	419.2	30732.723168	9604	172872.43218	366.8
214	27912.96	9692	193840	631.2	23260.8	9692	232608	526	23260.8	9692	232608	526	19384	12922.63436	261684	473.4	27912.96	8810.9090909	197429.43159	420.8	31014.322464	9692	174456.43614	368.2
215	28166.4	9780	195600	633.6	23472	9780	234720	528	23472	9780	234720	528	19560	13039.9674	264060	475.2	28166.4	8890.9090909	199222.02239	422.4	31295.92176	9780	176040.4401	369.6
216	28419.84	9868	197360	636	23683.2	9868	236832	530	23683.2	9868	236832	530	19736	13157.30044	266436	477	28419.84	8970.9090909	201014.61318	424	31577.521056	9868	177624.44406	371
217	28673.28	9956	199120	638.4	23894.4	9956	238944	532	23894.4	9956	238944	532	19912	13274.63348	268812	478.8	28673.28	9050.9090909	202807.20397	425.6	31859.120352	9956	179208.44802	372.4
218	28926.72	10044	200880	640.8	24105.6	10044	241056	534	24105.6	10044	241056	534	20088	13391.96652	271188	480.6	28926.72	9130.9090909	204599.79477	427.2	32140.719648	10044	180792.45198	373.8
219	29180.16	10132	202640	643.2	24316.8	10132	243168	536	24316.8	10132	243168	536	20264	13509.29956	273564	482.4	29180.16	9210.9090909	206392.38556	428.8	32422.318944	10132	182376.45594	375.2
220	29433.6	10220	204400	645.6	24528	10220	245280	538	24528	10220	245280	538	20440	13626.6326	275940	484.2	29433.6	9290.9090909	208184.97636	430.4	32703.91824	10220	183960.4599	376.6
221	29698.56	10312	206240	648	24748.8	10312	247488	540	24748.8	10312	247488	540	20624	13749.29896	278424	486	29698.56	9374.5454545	210059.04855	432	32998.317504	10312	185616.46404	378
222	29963.52	10404	208080	650.4	24969.6	10404	249696	542	24969.6	10404	249696	542	20808	13871.96532	280908	487.8	29963.52	9458.1818182	211933.12075	433.6	33292.716768	10404	187272.46818	379.4
223	30228.48	10496	209920	652.8	25190.4	10496	251904	544	25190.4	10496	251904	544	20992	13994.63168	283392	489.6	30228.48	9541.8181818	213807.19294	435.2	33587.116032	10496	188928.47232	380.8
224	30493.44	10588	211760	655.2	25411.2	10588	254112	546	25411.2	10588	254112	546	21176	14117.29804	285876	491.4	30493.44	9625.4545455	215681.26513	436.8	33881.515296	10588	190584.47646	382.2
225	30758.4	10680	213600	657.6	25632	10680	256320	548	25632	10680	256320	548	21360	14239.9644	288360	493.2	30758.4	9709.0909091	217555.33733	438.4	34175.91456	10680	192240.4806	383.6
226	31023.36	10772	215440	660	25852.8	10772	258528	550	25852.8	10772	258528	550	21544	14362.63076	290844	495	31023.36	9792.7272727	219429.40952	440	34470.313824	10772	193896.48474	385
227	31288.32	10864	217280	662.4	26073.6	10864	260736	552	26073.6	10864	260736	552	21728	14485.29712	293328	496.8	31288.32	9876.3636364	221303.48172	441.6	34764.713088	10864	195552.48888	386.4
228	31553.28	10956	219120	664.8	26294.4	10956	262944	554	26294.4	10956	262944	554	21912	14607.96348	295812	498.6	31553.28	9960	223177.55391	443.2	35059.112352	10956	197208.49302	387.8
229	31818.24	11048	220960	667.2	26515.2	11048	265152	556	26515.2	11048	265152	556	22096	14730.62984	298296	500.4	31818.24	10043.636364	225051.62611	444.8	35353.511616	11048	198864.49716	389.2
230	32083.2	11140	222800	669.6	26736	11140	267360	558	26736	11140	267360	558	22280	14853.2962	300780	502.2	32083.2	10127.272727	226925.6983	446.4	35647.91088	11140	200520.5013	390.6
231	32359.68	11236	224720	672	26966.4	11236	269664	560	26966.4	11236	269664	560	22472	14981.29588	303372	504	32359.68	10214.545455	228881.25189	448	35955.110112	11236	202248.50562	392
232	32636.16	11332	226640	674.4	27196.8	11332	271968	562	27196.8	11332	271968	562	22664	15109.29556	305964	505.8	32636.16	10301.818182	230836.80549	449.6	36262.309344	11332	203976.50994	393.4
233	32912.64	11428	228560	676.8	27427.2	11428	274272	564	27427.2	11428	274272	564	22856	15237.29524	308556	507.6	32912.64	10389.090909	232792.35908	451.2	36569.508576	11428	205704.51426	394.8
234	33189.12	11524	230480	679.2	27657.6	11524	276576	566	27657.6	11524	276576	566	23048	15365.29492	311148	509.4	33189.12	10476.363636	234747.91268	452.8	36876.707808	11524	207432.51858	396.2
235	33465.6	11620	232400	681.6	27888	11620	278880	568	27888	11620	278880	568	23240	15493.2946	313740	511.2	33465.6	10563.636364	236703.46627	454.4	37183.90704	11620	209160.5229	397.6
236	33742.08	11716	234320	684	28118.4	11716	281184	570	28118.4	11716	281184	570	23432	15621.29428	316332	513	33742.08	10650.909091	238659.01986	456	37491.106272	11716	210888.52722	399
237	34018.56	11812	236240	686.4	28348.8	11812	283488	572	28348.8	11812	283488	572	23624	15749.29396	318924	514.8	34018.56	10738.181818	240614.57346	457.6	37798.305504	11812	212616.53154	400.4
238	34295.04	11908	238160	688.8	28579.2	11908	285792	574	28579.2	11908	285792	574	23816	15877.29364	321516	516.6	34295.04	10825.454545	242570.12705	459.2	38105.504736	11908	214344.53586	401.8
239	34571.52	12004	240080	691.2	28809.6	12004	288096	576	28809.6	12004	288096	576	24008	16005.29332	324108	518.4	34571.52	10912.727273	244525.68065	460.8	38412.703968	12004	216072.54018	403.2
240	34848	12100	242000	693.6	29040	12100	290400	578	29040	12100	290400	578	24200	16133.293	326700	520.2	34848	11000	246481.23424	462.4	38719.9032	12100	217800.5445	404.6
241	35136	12200	244000	696	29280	12200	292800	580	29280	12200	292800	580	24400	16266.626	329400	522	35136	11090.909091	248518.26923	464	39039.9024	12200	219600.549	406
242	35424	12300	246000	698.4	29520	12300	295200	582	29520	12300	295200	582	24600	16399.959	332100	523.8	35424	11181.818182	250555.30423	465.6	39359.9016	12300	221400.5535	407.4
243	35712	12400	248000	700.8	29760	12400	297600	584	29760	12400	297600	584	24800	16533.292	334800	525.6	35712	11272.727273	252592.33922	467.2	39679.9008	12400	223200.558	408.8
244	36000	12500	250000	703.2	30000	12500	300000	586	30000	12500	300000	586	25000	16666.625	337500	527.4	36000	11363.636364	254629.37421	468.8	39999.9	12500	225000.5625	410.2
245	36288	12600	252000	705.6	30240	12600	302400	588	30240	12600	302400	588	25200	16799.958	340200	529.2	36288	11454.545455	256666.40921	470.4	40319.8992	12600	226800.567	411.6
246	36576	12700	254000	708	30480	12700	304800	590	30480	12700	304800	590	25400	16933.291	342900	531	36576	11545.454545	258703.4442	472	40639.8984	12700	228600.5715	413
247	36864	12800	256000	710.4	30720	12800	307200	592	30720	12800	307200	592	25600	17066.624	345600	532.8	36864	11636.363636	260740.4792	473.6	40959.8976	12800	230400.576	414.4
248	37152	12900	258000	712.8	30960	12900	309600	594	30960	12900	309600	594	25800	17199.957	348300	534.6	37152	11727.272727	262777.51419	475.2	41279.8968	12900	232200.5805	415.8
249	37440	13000	260000	715.2	31200	13000	312000	596	31200	13000	312000	596	26000	17333.29	351000	536.4	37440	11818.181818	264814.54918	476.8	41599.896	13000	234000.585	417.2
250	37728	13100	262000	717.6	31440	13100	314400	598	31440	13100	314400	598	26200	17466.623	353700	538.2	37728	11909.090909	266851.58418	478.4	41919.8952	13100	235800.5895	418.6
251	38027.52	13204	264080	720	31689.6	13204	316896	600	31689.6	13204	316896	600	26408	17605.28932	356508	540	38027.52	12003.636364	268970.10057	480	42252.694368	13204	237672.59418	420
252	38327.04	13308	266160	722.4	31939.2	13308	319392	602	31939.2	13308	319392	602	26616	17743.95564	359316	541.8	38327.04	12098.181818	271088.61696	481.6	42585.493536	13308	239544.59886	421.4
253	38626.56	13412	268240	724.8	32188.8	13412	321888	604	32188.8	13412	321888	604	26824	17882.62196	362124	543.6	38626.56	12192.727273	273207.13336	483.2	42918.292704	13412	241416.60354	422.8
254	38926.08	13516	270320	727.2	32438.4	13516	324384	606	32438.4	13516	324384	606	27032	18021.28828	364932	545.4	38926.08	12287.272727	275325.64975	484.8	43251.091872	13516	243288.60822	424.2
255	39225.6	13620	272400	729.6	32688	13620	326880	608	32688	13620	326880	608	27240	18159.9546	367740	547.2	39225.6	12381.818182	277444.16614	486.4	43583.89104	13620	245160.6129	425.6
256	39525.12	13724	274480	732	32937.6	13724	329376	610	32937.6	13724	329376	610	27448	18298.62092	370548	549	39525.12	12476.363636	279562.68254	488	43916.690208	13724	247032.61758	427
257	39824.64	13828	276560	734.4	33187.2	13828	331872	612	33187.2	13828	331872	612	27656	18437.28724	373356	550.8	39824.64	12570.909091	281681.19893	489.6	44249.489376	13828	248904.62226	428.4
258	40124.16	13932	278640	736.8	33436.8	13932	334368	614	33436.8	13932	334368	614	27864	18575.95356	376164	552.6	40124.16	12665.454545	283799.71532	491.2	44582.288544	13932	250776.62694	429.8
259	40423.68	14036	280720	739.2	33686.4	14036	336864	616	33686.4	14036	336864	616	28072	18714.61988	378972	554.4	40423.68	12760	285918.23172	492.8	44915.087712	14036	252648.63162	431.2
260	40723.2	14140	282800	741.6	33936	14140	339360	618	33936	14140	339360	618	28280	18853.2862	381780	556.2	40723.2	12854.545455	288036.74811	494.4	45247.88688	14140	254520.6363	432.6
261	41034.24	14248	284960	744	34195.2	14248	341952	620	34195.2	14248	341952	620	28496	18997.28584	384696	558	41034.24	12952.727273	290236.7459	496	45593.486016	14248	256464.64116	434
262	41345.28	14356	287120	746.4	34454.4	14356	344544	622	34454.4	14356	344544	622	28712	19141.28548	387612	559.8	41345.28	13050.909091	292436.7437	497.6	45939.085152	14356	258408.64602	435.4
263	41656.32	14464	289280	748.8	34713.6	14464	347136	624	34713.6	14464	347136	624	28928	19285.28512	390528	561.6	41656.32	13149.090909	294636.74149	499.2	46284.684288	14464	260352.65088	436.8
264	41967.36	14572	291440	751.2	34972.8	14572	349728	626	34972.8	14572	349728	626	29144	19429.28476	393444	563.4	41967.36	13247.272727	296836.73928	500.8	46630.283424	14572	262296.65574	438.2
265	42278.4	14680	293600	753.6	35232	14680	352320	628	35232	14680	352320	628	29360	19573.2844	396360	565.2	42278.4	13345.454545	299036.73708	502.4	46975.88256	14680	264240.6606	439.6
266	42589.44	14788	295760	756	35491.2	14788	354912	630	35491.2	14788	354912	630	29576	19717.28404	399276	567	42589.44	13443.636364	301236.73487	504	47321.481696	14788	266184.66546	441
267	42900.48	14896	297920	758.4	35750.4	14896	357504	632	35750.4	14896	357504	632	29792	19861.28368	402192	568.8	42900.48	13541.818182	303436.73266	505.6	47667.080832	14896	268128.67032	442.4
268	43211.52	15004	300080	760.8	36009.6	15004	360096	634	36009.6	15004	360096	634	30008	20005.28332	405108	570.6	43211.52	13640	305636.73046	507.2	48012.679968	15004	270072.67518	443.8
269	43522.56	15112	302240	763.2	36268.8	15112	362688	636	36268.8	15112	362688	636	30224	20149.28296	408024	572.4	43522.56	13738.181818	307836.72825	508.8	48358.279104	15112	272016.68004	445.2
270	43833.6	15220	304400	765.6	36528	15220	365280	638	36528	15220	365280	638	30440	20293.2826	410940	574.2	43833.6	13836.363636	310036.72604	510.4	48703.87824	15220	273960.6849	446.6
271	44156.16	15332	306640	768	36796.8	15332	367968	640	36796.8	15332	367968	640	30664	20442.61556	413964	576	44156.16	13938.181818	312318.20524	512	49062.277344	15332	275976.68994	448
272	44478.72	15444	308880	770.4	37065.6	15444	370656	642	37065.6	15444	370656	642	30888	20591.94852	416988	577.8	44478.72	14040	314599.68443	513.6	49420.676448	15444	277992.69498	449.4
273	44801.28	15556	311120	772.8	37334.4	15556	373344	644	37334.4	15556	373344	644	31112	20741.28148	420012	579.6	44801.28	14141.818182	316881.16362	515.2	49779.075552	15556	280008.70002	450.8
274	45123.84	15668	313360	775.2	37603.2	15668	376032	646	37603.2	15668	376032	646	31336	20890.61444	423036	581.4	45123.84	14243.636364	319162.64282	516.8	50137.474656	15668	282024.70506	452.2
275	45446.4	15780	315600	777.6	37872	15780	378720	648	37872	15780	378720	648	31560	21039.9474	426060	583.2	45446.4	14345.454545	321444.12201	518.4	50495.87376	15780	284040.7101	453.6
276	45768.96	15892	317840	780	38140.8	15892	381408	650	38140.8	15892	381408	650	31784	21189.28036	429084	585	45768.96	14447.272727	323725.6012	520	50854.272864	15892	286056.71514	455
277	46091.52	16004	320080	782.4	38409.6	16004	384096	652	38409.6	16004	384096	652	32008	21338.61332	432108	586.8	46091.52	14549.090909	326007.08039	521.6	51212.671968	16004	288072.72018	456.4
278	46414.08	16116	322320	784.8	38678.4	16116	386784	654	38678.4	16116	386784	654	32232	21487.94628	435132	588.6	46414.08	14650.909091	328288.55959	523.2	51571.071072	16116	290088.72522	457.8
279	46736.64	16228	324560	787.2	38947.2	16228	389472	656	38947.2	16228	389472	656	32456	21637.27924	438156	590.4	46736.64	14752.727273	330570.03878	524.8	51929.470176	16228	292104.73026	459.2
280	47059.2	16340	326800	789.6	39216	16340	392160	658	39216	16340	392160	658	32680	21786.6122	441180	592.2	47059.2	14854.545455	332851.51797	526.4	52287.86928	16340	294120.7353	460.6
281	47393.28	16456	329120	792	39494.4	16456	394944	660	39494.4	16456	394944	660	32912	21941.27848	444312	594	47393.28	14960	335214.47857	528	52659.068352	16456	296208.74052	462
282	47727.36	16572	331440	794.4	39772.8	16572	397728	662	39772.8	16572	397728	662	33144	22095.94476	447444	595.8	47727.36	15065.454545	337577.43916	529.6	53030.267424	16572	298296.74574	463.4
283	48061.44	16688	333760	796.8	40051.2	16688	400512	664	40051.2	16688	400512	664	33376	22250.61104	450576	597.6	48061.44	15170.909091	339940.39975	531.2	53401.466496	16688	300384.75096	464.8
284	48395.52	16804	336080	799.2	40329.6	16804	403296	666	40329.6	16804	403296	666	33608	22405.27732	453708	599.4	48395.52	15276.363636	342303.36034	532.8	53772.665568	16804	302472.75618	466.2
285	48729.6	16920	338400	801.6	40608	16920	406080	668	40608	16920	406080	668	33840	22559.9436	456840	601.2	48729.6	15381.818182	344666.32094	534.4	54143.86464	16920	304560.7614	467.6
286	49063.68	17036	340720	804	40886.4	17036	408864	670	40886.4	17036	408864	670	34072	22714.60988	459972	603	49063.68	15487.272727	347029.28153	536	54515.063712	17036	306648.76662	469
